Phone,Founded,Longitude_4,Country,Location_description_5,Location_description_0,Longitude_0,Latitude_2,Location,City_3,Location_description_4,Longitude_5,Website,Name,Address_5,Location_description_2,Type,Latitude_0,Location_description_1,Latitude_4,City_4,Latitude_1,City_2,Company Size,Address_3,Linked In URL,City_5,Latitude_3,Address_4,Longitude_3,Industry,Location_description_3,Address_2,Address_0,Headquarter,City_0,Longitude_1,Overview,Longitude_2,Latitude_5,City_1,Address_1
0412-925 291,2017,null,null,null,null,null,null,"Melbourne, Australia, Victoria 3000, AU",null,null,null,http://www.accordretail.com.au,Accord Retail Leasing Pty Ltd,null,null,Privately Held,null,null,null,null,null,null,0-1 employees,null,https://www.linkedin.com/company/accord-retail-leasing-pty-ltd/,null,null,null,null,null,null,null,null,"Melbourne, Australia, Victoria",null,null,"We provide specialised Leasing Services including Retail Planning, Feasibilities and Budgeting to Owners and Developers of Shopping Centres & Retail Portfolios regardless of size or location.We can help clients to create the ideal Retail Mix and Income by delivering the Right Tenant in the Right Location at the Right Rental.You deal direct with the Owner and Director Of Leasing who has over 25 years experience in the industry working across a range of Retail Property from single street locations to Major Regional Shopping Centres.",null,null,null,null
02 9419 6909,2011,null,AU,null,null,151.13834,null,"Sydney,   AU",null,null,null,http://www.campbellscholtens.com.au,Campbell Scholtens Property Consultants,null,null,Privately Held,-33.84907,null,null,null,null,null,2-10 employees,null,https://www.linkedin.com/company/campbell-scholtens/,null,null,null,null,null,null,null,"null, Sydney, null, null, AU",null,Sydney,null,"At Campbell Scholtens, we know what it takes to create positive impact in commercial buildings. Backed by our wealth of data, human insights and experience, we empower clients with smart, tailored solutions. Since 1999 we have been helping them improve tenant customer satisfaction, identify cost-saving opportunities, and reduce the risks associated with property ownership.Backed by decades of combined experience, our senior management team is at the forefront of property and asset management. With an average response rate of 78% for our commercial property surveys, we consistently achieve high levels of tenant customer engagement.",null,null,null,null
null,1979,null,null,null,null,null,null,"Sydney, New South Wales 2000, AU",null,null,null,https://tworld.com.au,Transworld Business Advisors Australia,null,null,Privately Held,null,null,null,null,null,null,201-500 employees,null,https://www.linkedin.com/company/transworld-business-advisors-aus/,null,null,null,null,null,null,null,null,"Sydney, New South Wales",null,null,"In today’s economy, there are more people looking to buy and sell businesses than ever before. When a company owner needs to sell their business, they can’t just stick a for sale sign in the window. They need the assistance of a business broker to locate and vet potential buyers. On the other side, buyers rely on the broker to help facilitate the process of evaluating potential businesses and franchises for sale. A Transworld Business Advisor is the solution for both scenarios.Transworld Business Advisors focus on three core concepts: business brokerage, franchise consulting and franchise development.",null,null,null,null
null,2018,null,null,null,null,null,null,"Melbourne, Victoria 3000, AU",null,null,null,http://www.nexusretail.com.au,Nexus Retail Group,null,null,Privately Held,null,null,null,null,null,null,2-10 employees,null,https://www.linkedin.com/company/nexus-retail-group/,null,null,null,null,null,null,null,null,"Melbourne, Victoria",null,null,"Nexus Retail Group is a Melbourne based retail, commercial and mixed-use property consultancy and agency specialising in: •	Project leasing, asset management and agency services•	Master-planning, project and development consulting•	Leasing-led asset re-positioning and re-purposing•	Post-development asset stabilisation",null,null,null,null
null,2013,null,AU,null,null,145.01105,null,"Level 10, 99 William Street, 99 William Street, Melbourne, Vic 3000, AU",null,null,null,http://www.crestcorporate.com.au,Crest Corporate,null,null,Privately Held,-37.803425,null,null,null,null,null,11-50 employees,null,https://www.linkedin.com/company/crest-corporate---australia/,null,null,null,null,null,null,null,"Level 10, 99 William Street, Melbourne, Vic, 3000, AU","Melbourne, Vic",Melbourne,null,"Crest Corporate is a boutique corporate advisory practice that manages mandates in respect of selling or purchasing a business, mergers and acquisitions and divestments with a market valuation of AUD 20 million to AUD 200 million and provides a range of other business strategy and corporate advisory services. Crest Corporate takes great pleasure to work, create, collaborate and partner with their clients on a smorgasbord of opportunities.  We are experienced in helping build successful businesses and taking them on the journey from entrepreneurial start-up through early maturity, to a strong future.  We provide businesses with financial advice to assist in strategies, competitiveness and insight, and we support business change.  Our success in corporate advisory comes from understanding the growing pains of smaller companies in need of capital for expansion.Crest Corporate has an extensive network and suite of products to service the needs of private and corporate clients.  Due to the nature of our service offering, we only work on a select number of matters at any one time to ensure a tailored and successful outcome for our clients with whom we build and maintain long term relationships.Our team consists of experienced professionals from multi-disciplinary backgrounds with skills and experience gained from advising high profile Australian and international companies on complex transactions.  We have established members of the Law Institute of Victoria, the Institute of Chartered Accountants in Australia and the Financial Services Institute of Australasia from which we can draw from.  By delivering timely judgment, innovative solutions, objective research and advice that’s consistent with our client’s objectives, we are able to provide guidance through the financial, commercial and regulatory complexity to achieve workable solutions.",null,null,null,null
08 8941 3000,2019,null,null,null,null,null,null,"19 Smith St, Level 16, Charles Darwin Centre, Darwin City, Northern Territory 0800, AU",null,null,null,http://www.territorybusinesssales.com.au,Territory Business Sales,null,null,Privately Held,null,null,null,null,null,null,0-1 employees,null,https://www.linkedin.com/company/territory-business-sales/,null,null,null,null,null,null,null,null,"Darwin City, Northern Territory",null,null,"Territory Business Sales are a specialist NT Business Sales & Advisory provider- we only sell businesses - not property & we don't do leases. Our in depth business experience allows us to successfully market businesses to a wider range of buyers, resulting in higher prices & faster sales. To date, Andrew has completed in excess of 50 NT sales totalling over $26 million in transaction value, principally in Good Will value.As a long term Territorian, Andrew Hahn understands the Northern Territory is a unique business market, often out of sync with the national economy & also operates under a different set of rules & circumstances than anywhere else. While there are enormous opportunities, businesses face testing conditions of distance & isolation, climatic extremes & a unique political & regulatory environment. Appreciation of all these factors is essential to deliver outcomes in the Business Sale and advisory industry.Locally, Territory Business Sales provide a wide range of service for all businesses, ranging from full service business brokerage, advisory & consultancy, through to supporting owners sell their own businesses. We are a member of the National Advantage Business Sales Network, an elite group of high performing brokers chosen based on their past performance. This provides us with an extensive National Marketing reach for our clients - imperative given the small size of the NT buyer market. We have a product to suit every business client’s individual circumstances and budget, from micro-businesses to those up to $10 million in value.  Andrew has extensive experience in the fields of Mergers & Acquisitions, Vendor Finance, Earn Outs, Family Transitions, Franchising & Market Appraisals.With Andrew, the combination of dual ‘client first’ professional backgrounds in pharmacy & law, extensive business experience, 23 years in the NT & an extensive list of successful sales ensures his clients are in the best possible professional hands.",null,null,null,null
null,2007,null,AU,null,null,115.8162,null,"1/89 North Lake Road, Myaree, WA 6154, AU",null,null,null,http://www.diamondrealty.com.au/,Diamond Realty WA,null,null,Privately Held,-31.939821,null,null,null,null,null,2-10 employees,null,https://www.linkedin.com/company/diamond-realty-wa/,null,null,null,null,null,null,null,"1/89 North Lake Road, Myaree, WA, 6154, AU","Myaree, WA",Myaree,null,"To be successful in real estate you need to be passionate about the business, understand the needs of your clients and above all be able to build outstanding relationships. This has been the cornerstone to the success of Diamond Realty, building long standing relationships with our client based on trust by referral. Our focus is to take the stress and complexity out of your Real Estate needs and make the experience as easy as possible.",null,null,null,null
null,null,null,AU,null,null,150.86966,null,"50 Crown Street, Suite 7, Wollongong, NSW 2500, AU",null,null,null,https://www.comelli.net.au/,Comelli Commercial,null,null,null,-34.403324,null,null,null,null,null,2-10 employees,null,https://www.linkedin.com/company/comelli-commercial/,null,null,null,null,null,null,null,"50 Crown Street, Wollongong, NSW, 2500, AU","Wollongong, NSW",Wollongong,null,"Selling your business is our businessComelli Commercial Business & Property Sales specialise in commercial property services. We can assist you to buy, sell and lease in Wollongong and surrounding areas. The name Comelli is synonymous with local knowledge and expertise. We are the perfect partner for your next business opportunity.",null,null,null,null
null,1999,null,AU,null,Reading Cinemas Head Office,145.01105,null,"98 York Street, Level 1, South Melbourne, VIC 3205, AU",null,null,null,http://www.readingrdi.com/real-estate-holdings/,Reading Property,null,null,Public Company,-37.803425,null,null,null,null,null,11-50 employees,null,https://www.linkedin.com/company/reading-property/,null,null,null,null,null,null,null,"98 York Street, South Melbourne, VIC, 3205, AU","South Melbourne, VIC",South Melbourne,null,"Reading Property, a subsidiary of Reading International Inc,  is a leading entertainment and real estate company, engaging in the development, ownership, and operation of multiplex cinemas and retail and commercial real estate including Newmarket Village in Brisbane, Auburn Redyard in Sydney, Belmont Reading Complex in Perth, Cannon Park in Townsville and Courtenay Central in Wellington NZ.  Reading International are a NASDAQ-listed Nevada corporation organized in 1999 and headquartered in Los Angeles, California with over 2,300 employees worldwide.",null,null,null,null
null,null,null,null,null,null,null,null,"Adelaide, South Australia  5000, AU",null,null,null,http://www.saxonconsulting.com.au,Saxon Consulting,null,null,Privately Held,null,null,null,null,null,null,2-10 employees,null,https://www.linkedin.com/company/saxonconsulting/,null,null,null,null,null,null,null,null,"Adelaide, South Australia",null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Girdis Group Of Companies,null,null,null,null,null,null,null,null,null,2-10 employees,null,https://www.linkedin.com/company/girdis-group-of-companies/,null,null,null,null,null,null,null,null,"Brisbane, Queensland",null,null,"Girdis Group Of Companies is a commercial real estate company based out of 410 Queen St, Brisbane, Queensland, Australia.",null,null,null,null
null,2015,null,AU,null,74 Castlereagh,151.13834,null,"Level 15, 74 Castlereagh Street, Sydeny, New South Wales 2000, AU",null,null,null,https://www.74castlereagh.com/,74 CASTLEREAGH,null,null,Privately Held,-33.84907,null,null,null,null,null,2-10 employees,null,https://www.linkedin.com/company/74-castlereagh/,null,null,null,null,null,null,null,"Level 15, 74 Castlereagh Street, Sydeny, New South Wales, 2000, AU","Sydeny, New South Wales",Sydeny,null,At 74 Castlereagh we provide premium office spaces that will best represent you and your business at the highest calibre.,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,http://www.aussiehome.com,Aussiehome.com Pty Ltd.,null,null,null,null,null,null,null,null,null,2-10 employees,null,https://www.linkedin.com/company/aussiehome-com-pty-ltd-/,null,null,null,null,null,null,null,null,"Nedlands, WA",null,null,"Aussiehome.com Pty Ltd. is a commercial real estate company based out of 183 Stirling Hwy, Nedlands, WA, Australia.",null,null,null,null
null,null,null,null,null,null,null,null,"425 Smith St, Fitzroy, Victoria 3065, AU",null,null,null,https://unitedco.com.au/coworking/,United Co. Coworking,null,null,null,null,null,null,null,null,null,null,null,https://www.linkedin.com/company/united-co-coworking/,null,null,null,null,null,null,null,null,null,null,null,"United Co. offers shared workspace in the heart of Fitzroy, just outside Melbourne CBD. Flexible options include part time coworking memberships, hot desks and dedicated desks with 24/7 access, as well as day passes for those who only need workspace occasionally. United Co. encourages collaboration by bringing entrepreneurs together. We enable members to connect through casual encounters, social and professional events. We understand the challenges of a modern work environment. United Co. provides a clever mix of private spaces to concentrate and collaborative space to mingle. Creativity does not have a 9-5 schedule. 24/7 Access to you workspace means that you can work when it suits you best. Work should not impact our lives in negative ways. Our wellness program helps members take care of their physical and mental well being and embrace work-life balance. Use the multi-pupose quiet room and take a moment to reflect, or blow of some steam in the gym at lunch time. Innovative technology is available to help you work more productive. Our members portal enables you to connect to other members. Our meeting rooms are equipped with screen sharing technology. Phone and video conferencing equipment is available to connect remotely.",null,null,null,null
null,2016,null,AU,null,null,115.8162,null,"12 Lyall Street, South Perth, Western Australia 6151, AU",null,null,null,http://www.iredcorp.com.au,IRED Corporation Pty Ltd,null,null,Privately Held,-31.939821,null,null,null,null,null,2-10 employees,null,https://www.linkedin.com/company/iredcorporationptyltd/,null,null,null,null,null,null,null,"12 Lyall Street, South Perth, Western Australia, 6151, AU","South Perth, Western Australia",South Perth,null,"IRED’s vision as one of the first independent Indigenous Real Estate Development company is to be a leading Australian property group in property development recognised for developing property based on respect of our land and in accordance with sustainable and ecological sensitive principles and at the same time ensuring social outcomes for the Indigenous communities. IRED’s mission is to further a culture of economic independence, ownership, entrepreneurship and self-determination among Indigenous people through the creation and growth of successful businesses within the property development, construction and property asset management industry.",null,null,null,null
+61418478917,2019,null,null,null,null,null,null,"Perth, Western Australia 6000, AU",null,null,null,http://www.kingstondev.com.au,Kingston Development Group Pty. Ltd.,null,null,Privately Held,null,null,null,null,null,null,2-10 employees,null,https://www.linkedin.com/company/kingston-development-group/,null,null,null,null,null,null,null,null,"Perth, Western Australia",null,null,"Kingston Development Group is a Perth development consultancy specialising in large-scale residential, build-to-rent and mixed-use developments. We are strategic and client-driven, offering a seamless project experience with the potential for substantial financial rewards.",null,null,null,null
+ 61 (3) 9001 0243,2019,null,null,null,null,null,null,null,null,null,null,https://www.mayfairiconic.com,Mayfair Iconic Properties,null,null,Privately Held,null,null,null,null,null,null,11-50 employees,null,https://www.linkedin.com/company/mayfair-iconic-properties/,null,null,null,null,null,null,null,null,"London, England",null,null,"Mayfair Iconic Properties is the property development and management division of the Mayfair 101 Group.  The company specialises in identifying iconic, truly unique properties and regions that the Group can add value to by leveraging its relationships with development, architecture, environmental and sustainability specialists.A key point of difference is the ability of Mayfair Iconic Properties to leverage the Group's assets in both the property, technology and other sectors in a cohesive manner to create value.The Mayfair Iconic Properties team consists of experienced professionals with over $3 billion of development experience between them.  The team's specialist expertise includes:•	Property development•	Town planning•	Tourism •	Retail & Shopping Centres•	Hotels & Resorts•	Hospitality•	Award-winning Architecture•	Environmental sustainability•	Feasibility Studies•	Infrastructure upgrades•	Property management•	Aged care facilities•	Hotel management selection",null,null,null,null
null,null,null,null,null,null,null,null,"100 Creek St, Brisbane City, Queensland 4000, AU",null,null,null,https://100creekst.com.au/,100 Creek St,null,null,Public Company,null,null,null,null,null,null,"1,001-5,000 employees",null,https://www.linkedin.com/company/100-creek-st/,null,null,null,null,null,null,null,null,"Brisbane City, Queensland",null,null,"100 Creek is a thriving commercial destination in the heart of Brisbane’s Golden Triangle. Nestled among bustling laneways, exciting retail and convenient public transport options, 100 Creek is equal parts culture, efficiency and style.",null,null,null,null
(08) 8362 1555,1999,null,null,null,null,null,null,"Suite 13, 15 Fullarton Road, Kent Town, South Australia 5067, AU",null,null,null,https://www.prorealty.com.au,ProRealty Property Consultants,null,null,Privately Held,null,null,null,null,null,null,2-10 employees,null,https://www.linkedin.com/company/prorealty-pty-ltd/,null,null,null,null,null,null,null,null,"Kent Town, South Australia",null,null,"ProRealty is a dynamic and growing South Australian commercial real estate company located in Kent Town, offering a wide range of services within the commercial property market.With over 50 years combined experience in the commercial property industry, the ProRealty team is able to offer high quality services such as: • Commercial Sales• Commercial Leasing• Commercial Property Management• Asset management• Brokerage services• Acquisition services",null,null,null,null
null,2016,null,AU,null,null,151.13834,null,"Level 9, 175 Liverpool Street, Sydney, NSW 2000, AU",null,null,null,http://www.cookitoo.com,Cookitoo,null,null,Privately Held,-33.84907,null,null,null,null,null,2-10 employees,null,https://www.linkedin.com/company/cookitoo/,null,null,null,null,null,null,null,"Level 9, 175 Liverpool Street, Sydney, NSW, 2000, AU","Sydney, NSW",Sydney,null,"Cookitoo is a platform for cafe’s and restaurants to rent out their unused kitchen space. Whether you're building a food delivery empire, arranging a function with catering, or just want to batch this weeks food prep it is now possible to find flexible, fully equipped, kitchen space. From commercial cafes in Collingwood to revolutionary restaurants in Redfern, Cookitoo is changing the way food is made and consumed.",null,null,null,null
null,null,null,null,null,null,null,null,"95 Cubitt Street, Cremorne, VIC 3121, AU",null,null,null,http://dawkinsocchiuto.com.au/,Dawkins Occhiuto Pty Ltd,null,null,Partnership,null,null,null,null,null,null,2-10 employees,null,https://www.linkedin.com/company/dawkins-occhiuto-pty-ltd/,null,null,null,null,null,null,null,null,"Cremorne, VIC",null,null,"Dawkins Occhiuto is a high quality commercial real estate agency founded by Andrew Dawkins & Walter Occhiuto.The Company was established to provide clients with a premium service that is driven by the knowledge, skills and focus of the Directors. The overarching principles of Dawkins Occhiuto are a commitment to professionalism, integrity and optimising the clients’ outcomes.The agency practice is nimble, sophisticated and driven by results.Dawkins Occhiuto provides real estate services ranging from on market public marketing campaigns to strategic off market brokerage sales, specific consultancy advice and leasing instructions.A core strength of the business is to add value to a sale or leasing instruction by optimising every result. The Directors do this by having a thorough understanding of the key drivers of value –- In depth market knowledge, both macro and micro- Technical knowledge of the asset class- Active market participants- Likely funding parameters- Future reversionary potentialThe core of their business is built around the seniority and expertise of the team.It is this strength, coupled with the track records of the Directors that stand Dawkins Occhiuto apart from their competitors.www.dawkinsocchiuto.com.au",null,null,null,null
0356443321,2019,null,null,null,null,null,null,"15 Napier Street, Warragul, Victoria 3820, AU",null,null,null,http://herdcoworking.com.au,HerdCoworking,null,null,Privately Held,null,null,null,null,null,null,2-10 employees,null,https://www.linkedin.com/company/herdcoworking/,null,null,null,null,null,null,null,null,"Warragul, Victoria",null,null,"If you’re an entrepreneur, freelancer or creative and you’re sick of working from home alone, then come and join our coworking community!OUR SPACEWe’re located at 15 Napier Street, in the heart of Warragul. For almost 10 years, our building was a hairdresser, which surprisingly makes it perfect for coworking (lots of powerpoints and hideaway spaces).We’re lucky to be surrounded by many of Warragul’s best eateries including Frankies and Earth Market Cafe. We’re 5 minutes walk from the train station and there’s ample all-day parking nearby.We designed the space with flexibility and comfort in mind. There’s open space where you can hot desk, meeting rooms where you can take phone calls or have group chat, and a chill zone where you can get some peace and quiet (or nap).",null,null,null,null
(02) 8880 7998,2019,null,null,null,null,null,null,"72 Charlotte St, Ashfield, New South Wales 2131, AU",null,null,null,https://businessforsalefinder.com.au,Business for Sale Finder,null,null,Privately Held,null,null,null,null,null,null,11-50 employees,null,https://www.linkedin.com/company/business-for-sale-finder-nsw/,null,null,null,null,null,null,null,null,"Ashfield, New South Wales",null,null,Looking to buy a business? Or Need to Sell a Business?We are the #1 Website and marketplace with a database of,null,null,null,null
07 5444 3300,2006,null,null,null,null,null,null,"64 Sixth Avenue, Suite 3, Maroochydore, Queensland 4557, AU",null,null,null,http://savvybusiness.com.au,Savvy Business Sales,null,null,Privately Held,null,null,null,null,null,null,2-10 employees,null,https://www.linkedin.com/company/savvy-business-sales/,null,null,null,null,null,null,null,null,"Maroochydore, Queensland",null,null,"Savvy Business Sales have earned a commanding reputation as the Sunshine Coast’s most experienced business brokers.   Savvy have the experience and know how to handle the most complex multimillion dollar sale, yet the flexibility and commitment to accommodate the smaller mum and dad sized owner operator businesses.Involved in some of the largest business sales ever made on the Coast, Savvy are also regularly called upon by Accountants and Solicitors throughout Queensland to appraise businesses and assist their clients.  In excess of 60% of Savvy’s sales originate from referrals or repeat clients and Savvy puts this amazing referral rate down to the quality of our systems, our industry experience and the unquestionable ethics of our team.Savvy’s Principal, Rod Russell, has been involved in business sales on the Sunshine Coast since 1995.  Rod is relentless in the ongoing development of systems and marketing strategies to ensure the smoothest and quickest sale process possible for our clients.As recipients of the prestigious ‘Excellence in Business’ Award for 2011 following their previous awards in 2008 and 2009, Savvy have also been acknowledged for their commitment and passion to the business broking industry and recently inducted into the “Hall of Fame” for 2012.When it comes to marketing, Savvy pride themselves on cutting edge marketing and strive to stay in front of the competition with clever cost effective strategies that continue to set the pace in Australian business sales.If you are considering buying or selling a business, come on down for a coffee and meet the Savvy team, you will quickly learn what all of the fuss is about. Also, be sure to check out the extensive range of quality listings and the highly professional Information Memorandums.",null,null,null,null
null,null,null,AU,null,null,153.40938,null,"112 Siganto Drive, Helensvalen, QLD 4212, AU",null,null,null,http://www.zuppproperty.com.au,Zupp Property Group,null,null,Privately Held,-27.994457,null,null,null,null,null,11-50 employees,null,https://www.linkedin.com/company/zupp-property-group/,null,null,null,null,null,null,null,"112 Siganto Drive, Helensvalen, QLD, 4212, AU","Helensvalen, QLD",Helensvalen,null,"Zupp Property Group is a Real estate company located in 84 Brisbane Rd, Labrador, QLD, Australia.",null,null,null,null
null,null,null,AU,null,null,115.8162,null,"7A Agnew Way, Subiaco, Western Australia 6008, AU",null,null,null,http://www.arisedevelopments.com.au,Arise Developments (WA) Pty Ltd,null,null,Privately Held,-31.939821,null,null,null,null,null,2-10 employees,null,https://www.linkedin.com/company/arise-developments-wa-pty-ltd/,null,null,null,null,null,null,null,"7A Agnew Way, Subiaco, Western Australia, 6008, AU","Subiaco, Western Australia",Subiaco,null,"Our professional team work intimately with all partners and stakeholders to deliver outstanding projects and build successful, long-lasting relationships.We work closely with landowners, local authorities, consultants, architects, builders, government, and tenants throughout the entire life cycle of the project to deliver projects that are not only successful, but are responsive, flexible, and tailored to individual needs and requirements.Our team of leading industry specialists have decades worth of experience across the whole commercial property life cycle, including site identification, built form,land development, risk identification and removal, and asset management. This combined industry experience allows us to successfully reduce project timeframes and increase project outcomes.From stakeholders to tenants, our ongoing success and network of repeat clientele is testament to our professional approach, unrivaled quality, and strong, collaborative partnerships.",null,null,null,null
null,1977,null,AU,null,Melbourne and Surrounds,145.01105,null,"1 Melbourne Road, Newport, Mebourne, Victoria 3000, AU",null,null,null,http://www.geminicom.com.au,Gemini Commercial Services,null,null,Sole Proprietorship,-37.803425,null,null,null,null,null,11-50 employees,null,https://www.linkedin.com/company/gemini-commercial-services/,null,null,null,null,null,null,null,"1 Melbourne Road, Mebourne, Victoria, 3000, AU","Mebourne, Victoria",Mebourne,null,"Gemini specialises in providing professional carpet cleaning, quality commercial cleaning and maintenance services! Whether your property is small or full scale corporate, we have the facilities and qualified staff to get the job done right every time.We are a small family owned business and pride ourselves in providing quality and professional service.We Services clients in and around Melbourne and our services include:Carpet CleaningUpholstery CleaningCommercial CleaningProperty Maintenance & LandscapingContracted CleaningBuilding Repairs and MaintenanceLighting ReplacementsEmergency Lighting Inspections and ReplacementGreen & Energy Saving LightingHouse Cleaning",null,null,null,null
null,1974,null,AU,null,Ace Business Brokers,151.13834,null,"8 Crofts Avenue, Hurstville, NSW 2220, AU",null,null,null,http://www.acebrokers.com.au/,Ace Brokers,null,null,Privately Held,-33.84907,null,null,null,null,null,2-10 employees,null,https://www.linkedin.com/company/ace-brokers/,null,null,null,null,null,null,null,"8 Crofts Avenue, Hurstville, NSW, 2220, AU","Hurstville, NSW",Hurstville,null,"Ace Business Brokers look to give you the best insights when it comes to buying a selling your business. Throughout a 30 year period Ace Business Brokers have advised on, or sold, more than 6,000 businesses. We hope to give you our followers insights into selling your business successfully.",null,null,null,null
null,2017,null,AU,null,null,134.3547,null,AU,null,null,null,http://activecommercial.com.au,Active Commercial,null,null,Privately Held,-25.574999,null,null,null,null,null,2-10 employees,null,https://www.linkedin.com/company/active-commercial/,null,null,null,null,null,null,null,"null, null, null, null, AU",null,null,null,Active Commercial is hands on in Commercial Property investment.  We buy Office and Retail building with four or more tenants in regional or metro Australia.,null,null,null,null
null,2013,null,AU,null,null,130.85509,null,"201 'G Building 2', 631 Stuart Highway, Berrimah, Northern Territory 0828, AU",null,null,null,http://dixongroup.com.au,DixonGroup,null,null,Privately Held,-12.428205,null,null,null,null,null,2-10 employees,null,https://www.linkedin.com/company/dixongroup/,null,null,null,null,null,null,null,"201 'G Building 2', Berrimah, Northern Territory, 0828, AU","Berrimah, Northern Territory",Berrimah,null,"DixonGroup are a full service property development group specialising in turnkey design and construction projects. With demonstrated experience in commercial and residential, high-rise, health, education, retail, aged care and more our landmark projects range from $500k to $85 million.",null,null,null,null
0449941573,2015,null,null,null,null,null,null,"50 Carrington St, Sydney, New South Wales 2000, AU",null,null,null,http://www.sydneybudgetservices.com,Sydney Budget Services,null,null,Privately Held,null,null,null,null,null,null,2-10 employees,null,https://www.linkedin.com/company/sydney-budget-services/,null,null,null,null,null,null,null,null,"Sydney, New South Wales",null,null,"Sydney Budget Services Pty Ltd  provides a suite of facility and commercial cleaning services to clients in a range of different industries. Our team of maintenance professionals and cleaners are located across Sydney and have industry experience, expertise and the support to deliver a tailored service to meet our client’s expectations. Our belief is that, it is our duty and obligation to ensure that all our clients get the highest level of services at very competitive prices.",null,null,null,null
0411695732,2018,null,AU,null,Burleigh Heads,153.40938,null,"4 Starling Street, Suite 3, Burleigh Heads, QLD 4220, AU",null,null,null,https://www.flockd.com.au/,Flockd Coworking Space,null,null,Privately Held,-27.994457,null,null,null,null,null,2-10 employees,null,https://www.linkedin.com/company/flockd-co-workspace/,null,null,null,null,null,null,null,"4 Starling Street, Burleigh Heads, QLD, 4220, AU","Burleigh Heads, QLD",Burleigh Heads,null,"Whether you need a quiet desk for one, a permanent space for your team, or a spot at our communal desks - Flockd has something to meet your working needs.",null,null,null,null
null,2000,null,null,null,null,null,null,"86 Robina Town Centre Dr, Robina, Queensland 4226, AU",null,null,null,http://remaxgc.com.au,Remax Commercial Gold Coast,null,null,Privately Held,null,null,null,null,null,null,11-50 employees,null,https://www.linkedin.com/company/remax-commercial-gold-coast/,null,null,null,null,null,null,null,null,"Robina, Queensland",null,null,"RE/MAX Commercial, part of the world’s most productive real estate network, is a leader in the commercial and investment arenas. Whatever the property and whatever the transaction, RE/MAX Commercial delivers a level of awareness, trust and confidence that competitors simply can’t match. RE/MAX Commercial Practitioners have access to the industry’s top training system, corporate support services and a powerful referral network – more than 110,000 Sales Associates. And a presence in over 100 countries and territories. RE/MAX Commercial closes more than $11.1 Billion in total commercial volume from over 25,000 transactions annually.* More than 3,000 RE/MAX Commercial Practitioners work in more than 50 countries and territories.The RE/MAX network includes more than 550 Commercial officers and divisions and 7,000 residential offices worldwide.What does this mean for you? A better way in Commercial Real Estate. Tell us what you need, and we’ll get it done. With a more than 40-year track record of professionalism and customer focus, we understand the long-term value of every transaction, large or small. Work with us once and you’ll realize the competitive advantages we bring to the table. RE/MAX has become one of the most dynamic names in the commercial sector. We’re constantly building market share, and there’s a very good reason for that. We get unparalleled results for our clients – clients just like you.",null,null,null,null
null,null,null,AU,null,null,151.13834,null,"42 Alexander Ave, Sydney, New South Wales 2068, AU",null,null,null,http://www.orlani.com.au,Orlani,null,null,Partnership,-33.84907,null,null,null,null,null,11-50 employees,null,https://www.linkedin.com/company/orlani/,null,null,null,null,null,null,null,"42 Alexander Ave, Sydney, New South Wales, 2068, AU","Sydney, New South Wales",Sydney,null,"Orlani Property Group (OPG) is a privately owned, Sydney based, property company whose principal activity is the development and ownership of high quality property for long term investment. The portfolio is spread across metropolitan Sydney and Brisbane. It provides facilities for a range of industrial and commercial tenants, including major national and international corporations.OPG has a market reputation for designing, project managing and building to the highest standards.",null,null,null,null
null,2011,null,AU,null,Melbourne Office,145.01105,null,"402/95 Ormond Road, Elwood, VIC 3184, AU",null,null,null,http://www.taylortaylor.com.au,TaylorTaylor,null,null,Public Company,-37.803425,null,null,null,null,null,2-10 employees,null,https://www.linkedin.com/company/taylortaylor/,null,null,null,null,null,null,null,"402/95 Ormond Road, Elwood, VIC, 3184, AU","Elwood, VIC",Elwood,null,"We specialise in managing the development of infrastructure and property.We have considerable experience in the property industry and pride ourselves in delivering complex and technical projects while ensuring that all stakeholders are engaged and enjoy ownership in the success of each project.",null,null,null,null
null,null,null,null,null,null,null,null,"45 Little Mount Street, Pyrmont, New South Wales 2009, AU",null,null,null,http://www.interisk.com.au,The InteRisk Group,null,null,Privately Held,null,null,null,null,null,null,11-50 employees,null,https://www.linkedin.com/company/theinteriskgroup/,null,null,null,null,null,null,null,null,"Pyrmont, New South Wales",null,null,"We have vast experience in the day to day operational issues as well as the more strategic implementation of Risk management. Our people are recognised as the industry leaders in their particular profession and for their contributions to the property industry. In most cases we are involved in the development, implementation and continual review of our client, operational, engineering, risk, OHS, environmental and emergency processes.",null,null,null,null
null,2019,null,null,null,null,null,null,"Maroochydore, Sunshine Coast 4558, AU",null,null,null,null,Tree of Knowledge (TOK) Sunshine Coast,null,null,Nonprofit,null,null,null,null,null,null,2-10 employees,null,https://www.linkedin.com/company/tree-of-knowledge-tok-sunshine-coast/,null,null,null,null,null,null,null,null,"Maroochydore, Sunshine Coast",null,null,"What is the Tree of Knowledge?The Tree of Knowledge (TOK) is a free informal quarterly networking event for people who operate in the property, construction and affiliated industries. TOK events are held in Sunshine Coast, Brisbane, Sydney, Melbourne, Perth, Canberra & Newcastle. Events are generally held on a Wednesday between 5.30 – 8.30 pm in a public bar, hotel, pub or similar where attendees are able to purchase food and beverage at their leisure and own expense.",null,null,null,null
